dayofweek,hour,age,numscreens,minigame,liked,used_premium_feature
0,4,24,59,0,0,0
3,8,43,9,0,0,0
3,14,41,45,0,0,0
3,14,21,25,0,0,0
4,22,29,33,0,1,0
1,3,33,7,1,0,1
5,19,26,29,1,0,0
4,21,24,3,0,0,0
4,19,17,4,0,0,0
5,23,41,38,0,0,0
0,12,30,21,1,1,1
3,23,33,6,0,0,0
5,15,23,49,0,0,0
5,3,20,6,0,0,0
1,18,31,8,0,0,0
5,12,22,20,0,0,0
1,13,30,41,0,0,0
6,6,39,40,0,0,0
4,21,31,25,0,0,1
3,1,21,34,0,0,0
4,15,37,11,0,0,0
1,4,17,89,0,0,0
2,0,31,22,0,0,0
1,16,47,8,0,1,0
6,5,24,20,0,0,0
6,16,32,25,1,0,0
3,18,25,25,0,0,1
3,18,25,43,0,0,0
4,23,26,13,0,0,0
4,7,18,20,0,0,0
1,4,29,47,1,0,1
5,12,20,39,0,0,1
1,12,22,38,0,0,0
6,22,46,35,0,1,0
1,21,31,36,1,0,0
1,18,45,22,1,0,0
3,19,28,12,0,0,0
1,22,42,37,1,0,0
4,3,23,20,1,1,1
6,17,24,13,0,1,0
2,13,19,11,0,0,0
6,7,38,13,1,0,1
5,19,27,14,0,1,1
0,3,33,19,0,0,0
2,7,28,40,0,0,0
6,0,53,16,0,0,0
1,20,27,43,0,0,0
2,21,30,6,0,0,0
2,17,24,27,0,1,0
4,22,44,56,1,0,1
0,0,33,31,0,0,1
4,9,22,33,0,1,0
6,2,49,12,0,0,1
4,14,42,29,1,0,0
4,1,29,32,0,1,0
2,4,26,30,0,1,0
5,23,39,12,0,1,0
2,17,19,12,0,0,1
1,13,58,13,0,1,0
3,23,36,2,0,1,0
1,13,19,6,0,0,0
4,17,33,5,1,0,1
4,15,46,27,0,0,0
3,4,38,30,0,0,0
6,22,21,11,0,0,0
5,21,28,36,0,0,0
3,0,25,9,0,0,0
6,19,20,24,0,0,0
1,18,21,44,0,0,0
0,18,24,27,0,0,0
4,0,19,92,0,0,0
4,14,30,17,0,0,0
1,21,17,9,0,0,0
1,1,47,8,0,0,0
4,16,23,20,0,0,0
5,23,38,22,0,0,0
0,1,37,23,0,0,0
1,3,18,16,0,0,0
4,10,39,12,0,0,0
5,6,20,20,0,0,0
0,13,19,23,0,0,0
1,17,24,9,0,0,0
6,2,20,26,0,0,0
6,8,41,59,0,1,0
5,11,60,10,0,1,0
5,20,21,31,0,0,0
5,17,40,51,0,0,0
1,7,24,26,0,1,0
0,15,60,6,0,1,0
1,6,27,6,0,0,0
1,18,22,8,0,0,0
0,21,20,27,0,0,0
1,22,26,57,0,0,0
5,16,23,3,0,0,0
6,16,24,22,0,0,1
0,20,28,16,0,0,0
0,17,29,15,0,0,1
4,21,32,13,0,0,0
6,7,23,27,0,0,0
2,8,21,22,1,1,0
2,20,18,36,0,0,0
5,1,26,70,0,0,0
0,22,43,58,1,0,0
6,2,37,9,0,1,0
1,10,28,15,0,1,0
2,20,21,13,0,0,1
0,10,31,24,0,1,0
0,15,46,6,0,0,0
6,4,45,4,0,0,1
6,20,29,1,1,1,0
5,7,44,16,0,0,0
6,16,40,13,0,1,1
3,6,27,23,0,0,0
4,14,50,16,1,0,0
2,4,19,15,0,0,1
5,0,23,34,0,0,0
6,17,40,2,0,0,0
1,22,38,66,0,0,1
0,18,23,25,0,0,0
1,16,19,24,0,0,0
4,20,52,11,0,0,0
2,22,29,6,0,0,0
1,18,24,21,0,0,0
1,19,20,19,0,0,0
5,18,24,46,0,0,0
4,19,56,6,0,0,0
2,7,23,27,0,0,0
1,22,21,19,0,0,1
0,0,24,28,0,0,0
1,15,48,55,0,1,0
6,9,18,11,0,0,0
1,13,42,13,0,0,0
6,10,31,4,0,0,0
6,19,22,8,0,0,0
5,0,21,23,0,1,0
6,19,19,17,0,0,0
4,2,31,12,0,0,0
6,14,38,40,0,0,0
1,14,57,25,0,0,1
0,3,22,22,0,0,1
0,11,23,13,0,0,0
1,14,26,4,0,1,0
1,6,23,5,0,0,0
5,3,47,10,0,0,0
2,16,60,24,0,0,0
4,1,30,61,1,0,0
3,13,53,24,0,0,0
6,19,25,25,0,0,0
5,23,39,75,0,0,1
6,22,24,55,1,1,0
0,17,33,12,0,0,0
4,14,39,28,0,0,0
6,4,21,10,0,0,0
5,21,49,9,1,0,0
1,20,34,39,0,0,0
5,1,37,34,0,0,1
3,0,24,10,0,0,0
6,4,19,50,0,0,0
3,10,33,1,0,0,0
1,13,36,5,0,0,0
3,3,42,46,0,0,0
5,7,22,23,0,0,0
0,16,62,44,0,0,0
1,20,18,9,0,0,0
0,17,27,42,0,1,0
2,18,40,26,1,0,1
4,10,47,9,0,0,0
0,21,24,16,0,0,0
6,18,63,19,0,0,0
3,6,21,10,0,1,0
1,17,37,13,0,0,0
4,2,39,20,0,0,0
0,1,41,19,0,1,0
4,2,28,10,0,1,0
4,2,41,36,0,0,0
1,18,45,10,0,0,1
5,6,32,22,0,0,1
2,18,32,27,1,0,1
1,1,31,14,0,0,0
3,16,29,37,1,0,1
1,13,49,2,0,0,0
4,4,34,8,0,1,0
4,4,16,22,0,0,0
4,13,45,7,0,0,0
2,21,21,7,0,0,1
6,21,21,34,0,0,0
0,23,29,25,0,0,0
2,19,19,34,0,0,0
4,20,25,3,0,1,1
0,4,22,46,0,0,0
4,20,28,40,0,0,0
4,10,20,33,0,0,1
4,4,19,16,0,0,0
5,9,38,16,0,1,0
5,23,33,22,0,0,0
1,16,19,31,0,0,0
0,19,24,14,1,0,1
2,18,29,4,0,0,0
5,19,41,34,0,0,1
3,12,53,4,0,1,0
1,0,50,7,0,0,1
2,16,41,50,1,0,1
3,17,31,36,0,0,1
5,15,28,12,0,0,1
6,14,21,42,0,0,0
5,13,26,4,0,0,0
6,6,25,16,0,1,0
5,23,48,47,0,0,1
3,23,53,13,0,0,0
6,22,28,15,0,1,0
6,16,28,8,0,0,0
0,11,31,25,0,0,0
3,3,18,33,0,0,1
3,22,42,66,0,0,0
1,7,24,22,0,0,0
1,18,22,45,1,0,1
1,10,43,17,0,1,0
1,21,50,14,0,1,0
6,23,46,16,0,0,0
3,18,39,34,1,0,0
0,23,41,44,0,0,0
5,17,49,13,0,0,0
6,10,25,16,0,0,0
3,13,45,21,0,0,1
2,16,24,29,0,0,0
5,16,33,11,1,0,0
4,11,50,3,0,1,0
6,3,29,6,0,0,0
4,15,24,44,1,0,0
4,18,47,18,0,0,1
3,10,26,10,0,0,1
5,23,44,9,0,0,1
3,6,24,5,0,1,0
6,22,16,29,0,0,0
1,17,54,20,0,0,1
6,21,34,13,0,0,1
0,9,28,15,1,0,0
4,4,43,24,0,0,0
4,11,24,31,0,0,0
2,11,18,36,0,0,0
1,3,36,37,1,0,0
5,9,48,36,0,0,0
0,19,28,27,0,0,0
6,3,21,8,0,0,0
2,21,25,7,0,1,1
0,11,30,20,0,0,0
0,21,29,9,0,0,0
6,16,23,22,0,0,0
4,19,50,4,0,0,0
4,16,33,10,0,0,0
5,23,58,12,0,1,0
6,18,37,22,0,0,0
3,3,40,22,0,0,0
1,19,25,5,0,0,1
5,17,24,15,0,0,0
5,17,28,7,0,1,0
3,15,58,1,0,0,0
4,2,32,5,0,0,0
3,19,70,19,0,0,0
5,3,30,27,0,0,0
4,19,20,24,0,0,0
0,0,26,15,0,1,1
0,12,29,31,0,0,0
6,8,20,46,0,0,0
4,16,45,2,0,0,0
0,5,22,20,0,0,1
6,0,56,17,1,1,0
0,22,57,8,0,0,0
0,16,25,32,0,0,0
6,18,33,7,0,0,0
4,4,25,47,1,0,0
0,9,19,7,0,0,0
1,15,42,6,0,1,0
1,2,34,13,0,0,0
6,1,18,27,0,1,0
3,13,21,10,0,0,0
0,18,30,40,0,0,0
6,4,29,16,0,0,0
3,17,30,9,0,1,0
5,5,25,1,0,0,0
3,14,31,26,0,0,0
4,20,42,16,0,1,0
0,12,45,23,0,0,0
5,3,24,55,0,0,0
2,18,26,31,0,1,0
0,19,40,20,0,0,0
3,17,33,1,0,0,1
3,10,24,11,0,1,0
4,22,24,19,0,0,1
0,9,21,29,0,1,0
6,4,38,19,0,0,0
6,19,27,8,0,0,0
6,2,33,18,0,0,0
4,21,28,49,0,0,0
4,23,30,37,0,0,0
6,18,40,8,0,0,0
4,4,34,34,0,0,0
5,3,21,4,0,0,0
5,19,27,11,0,1,0
4,18,24,5,0,0,0
0,5,25,16,1,0,1
1,21,32,6,0,0,1
2,4,28,2,0,0,1
0,12,27,6,0,1,0
6,14,47,4,0,0,0
6,21,31,29,0,0,1
1,23,43,8,0,0,0
4,22,38,36,0,0,0
4,0,52,17,0,0,0
2,2,30,5,0,0,0
0,21,33,14,1,1,0
2,15,41,9,0,1,0
3,5,53,20,0,0,0
3,22,21,71,0,0,0
6,7,20,23,0,1,1
4,6,20,23,0,0,0
6,22,51,29,0,1,1
3,14,49,5,0,0,0
4,11,22,17,0,0,0
1,5,34,40,0,1,0
5,14,51,16,0,0,0
6,15,42,10,0,0,1
1,6,32,17,0,0,0
1,22,38,1,0,1,0
0,17,27,25,0,1,0
5,0,24,41,0,0,0
5,14,35,18,0,0,0
2,15,30,28,0,0,0
6,17,25,9,0,0,0
4,18,42,9,0,0,0
6,21,25,43,0,0,0
4,3,33,50,0,0,0
0,15,34,48,0,0,1
5,4,19,3,0,0,0
3,16,40,8,0,0,0
6,18,21,6,1,0,0
1,18,25,33,0,0,0
5,16,32,78,0,0,0
5,3,24,31,0,0,0
0,0,19,37,0,0,0
2,20,22,50,0,0,0
0,4,50,7,0,0,1
4,8,27,2,0,0,0
3,0,32,5,0,1,0
3,1,21,17,1,0,1
5,6,20,34,0,0,1
0,19,21,23,0,0,1
3,14,22,31,0,0,0
5,0,41,23,0,0,0
3,19,39,6,0,0,0
6,22,33,18,0,0,1
1,0,17,13,1,1,0
1,6,30,29,1,1,0
4,0,27,28,0,0,0
1,5,35,17,0,0,0
1,1,21,6,0,0,0
3,20,23,5,0,0,0
2,16,54,47,0,0,1
5,21,29,8,0,0,0
1,21,25,45,0,1,0
5,14,47,31,0,0,0
6,17,24,21,0,0,0
0,21,53,18,0,0,0
2,14,37,16,1,0,1
4,12,24,16,0,0,0
1,20,38,16,0,0,1
4,15,25,4,0,1,1
6,23,44,8,0,0,1
5,21,21,22,0,0,0
0,7,62,37,1,1,0
0,15,19,23,0,0,0
6,23,19,17,0,0,0
5,2,28,10,0,0,1
3,14,19,30,0,1,1
5,0,19,23,0,1,0
6,8,28,7,0,0,0
5,17,22,9,0,0,0
2,20,30,27,0,0,1
2,18,48,13,0,0,1
3,20,30,34,0,0,0
6,17,27,27,1,0,1
5,23,25,36,0,0,0
0,3,33,6,0,1,0
2,15,26,16,0,0,1
1,19,24,2,0,0,0
6,0,28,8,0,1,0
0,17,69,13,0,0,0
2,18,21,23,0,0,0
1,13,22,3,0,0,0
0,10,51,20,0,1,0
3,1,29,85,0,0,0
6,1,21,3,0,0,0
0,20,28,62,0,1,0
3,19,23,7,0,0,0
5,2,28,12,0,1,1
6,0,34,28,1,0,0
6,8,26,10,0,0,1
6,7,26,5,0,0,0
0,10,30,1,0,0,0
0,16,29,53,0,0,1
5,21,25,35,0,0,0
0,7,29,14,0,0,0
5,15,20,25,0,0,0
5,22,19,17,0,1,0
1,2,24,9,1,1,0
1,16,47,7,0,1,0
6,21,19,7,0,0,0
5,23,22,21,0,0,0
1,2,42,7,0,0,0
0,3,55,12,0,0,0
6,3,40,30,0,0,0
2,9,25,26,1,0,1
5,4,28,54,0,0,0
5,20,57,38,0,0,0
1,14,25,25,0,1,0
6,14,37,13,0,0,0
4,22,48,49,0,0,0
5,22,28,13,0,0,0
6,2,25,24,0,0,0
1,2,19,36,0,0,0
5,13,20,6,0,1,0
4,16,28,5,0,0,0
4,18,53,11,0,0,0
5,12,25,24,0,0,0
0,0,25,9,0,0,0
5,17,24,8,1,0,0
4,17,19,4,0,0,0
4,19,22,48,0,1,0
5,2,17,7,0,0,0
6,3,20,28,0,0,0
4,15,52,29,0,0,1
3,21,26,4,1,0,0
0,17,33,29,1,0,0
4,5,33,13,0,0,0
0,22,26,19,0,0,0
4,15,37,11,0,0,0
6,20,44,37,0,0,0
6,6,25,70,1,0,0
5,19,24,10,0,1,0
4,12,20,21,0,0,0
6,3,48,22,0,0,0
6,20,45,15,0,0,0
2,13,46,8,0,1,0
1,14,25,27,0,1,0
1,22,28,22,0,0,0
3,14,23,11,1,0,0
0,0,17,22,0,0,1
1,20,29,1,0,0,0
6,13,68,9,0,1,0
5,9,59,25,0,0,0
6,22,30,3,0,0,0
3,18,29,11,0,0,0
0,19,25,19,1,0,0
3,19,32,15,0,1,0
0,0,19,10,0,0,0
0,15,33,11,1,0,0
2,20,35,25,0,1,0
5,2,26,22,0,0,0
0,17,26,22,0,0,1
6,5,26,3,0,0,0
1,1,27,11,0,1,0
3,1,21,23,0,0,0
2,18,18,37,0,0,0
3,18,38,3,0,1,0
2,22,36,73,0,0,0
5,13,25,4,0,0,0
5,17,38,68,0,0,1
3,10,26,8,0,0,0
6,22,24,4,0,0,0
5,9,45,39,0,1,0
2,23,30,8,1,0,0
3,5,37,1,0,0,0
5,4,30,25,0,1,1
4,20,23,18,0,0,0
3,18,27,20,0,0,0
2,20,38,25,0,0,0
0,21,33,15,0,1,0
4,3,18,4,0,0,0
4,13,18,12,0,0,1
2,9,25,37,0,0,0
6,6,34,16,0,0,0
3,14,27,24,0,0,0
1,22,41,50,0,0,0
3,13,45,35,0,0,0
5,16,22,4,0,0,0
5,22,20,6,0,0,0
1,22,29,8,0,0,0
3,20,49,31,1,0,0
1,21,26,7,0,0,0
5,15,36,40,0,0,0
1,10,24,44,0,0,0
1,17,22,31,0,0,0
0,2,50,69,0,0,0
1,19,39,4,1,1,0
2,1,46,3,0,0,0
0,8,29,20,1,0,0
4,22,30,35,1,0,1
5,4,44,53,0,0,0
5,14,20,30,0,0,0
1,1,23,36,0,0,0
4,20,43,16,0,0,0
3,10,38,8,0,0,0
0,20,38,16,0,0,0
3,2,21,11,0,0,0
0,2,21,26,0,0,0
4,1,24,32,0,0,0
6,2,47,31,0,0,1
1,7,58,13,0,0,1
1,12,43,29,0,0,0
5,8,39,2,0,0,0
1,1,50,1,0,0,0
4,10,37,30,0,0,0
0,20,32,14,0,0,0
2,17,28,22,0,0,1
1,4,17,3,0,0,0
6,4,22,31,0,0,0
1,2,26,10,0,0,0
6,19,26,2,0,0,0
0,19,22,37,0,0,0
2,1,20,17,0,0,0
6,0,33,16,0,0,0
0,17,43,24,0,0,0
5,11,28,6,0,0,0
4,6,20,5,0,0,0
1,19,35,4,0,0,0
4,16,35,23,0,0,1
6,11,38,8,0,0,0
1,21,22,16,0,0,0
0,3,19,6,0,0,0
4,19,35,7,0,0,0
6,15,22,31,0,0,0
0,21,22,7,0,0,1
2,14,30,10,0,0,0
6,2,40,11,0,0,0
5,4,31,2,0,0,1
3,17,25,1,0,1,0
3,5,20,24,0,0,0
5,4,36,7,0,0,0
0,5,19,43,0,0,1
2,22,28,57,0,0,0
4,16,31,11,1,0,0
3,21,24,17,0,1,0
4,5,45,17,0,0,0
6,13,21,9,1,0,0
1,14,37,7,0,0,0
6,2,33,22,0,1,0
6,3,29,7,0,0,0
3,1,29,27,0,0,0
0,9,27,14,0,0,1
3,0,31,15,0,1,0
0,18,45,4,0,0,0
2,14,32,17,1,0,0
5,21,32,4,0,0,0
5,4,40,17,0,0,0
3,10,18,21,0,0,0
2,17,55,9,0,1,0
0,13,23,45,1,0,1
2,17,63,19,0,0,0
5,0,30,12,0,0,0
0,11,42,23,1,0,1
3,20,22,15,0,0,0
2,16,60,9,0,0,0
6,7,23,25,0,0,0
5,3,24,39,1,1,0
3,18,19,43,0,0,0
0,22,32,59,0,0,1
3,15,27,16,1,0,0
3,21,25,44,0,0,0
1,4,19,16,0,0,1
5,19,25,15,0,1,1
5,21,26,9,0,0,0
2,13,48,14,0,0,0
0,2,37,22,0,1,0
6,21,24,10,0,0,0
5,1,28,70,0,0,0
2,2,20,9,0,0,0
5,4,47,13,0,0,0
4,22,37,5,0,0,0
4,9,28,20,0,0,0
6,18,46,2,0,0,0
2,8,36,34,0,0,0
0,1,52,8,0,0,0
5,21,19,17,1,0,1
5,23,46,21,0,0,0
0,10,68,22,0,1,0
4,17,18,12,0,0,0
2,0,26,4,0,0,0
2,4,23,19,0,0,1
0,2,55,15,0,0,1
2,17,27,14,0,0,0
2,17,35,5,1,0,0
5,18,41,31,0,0,0
0,1,32,7,0,0,0
1,18,38,15,0,0,0
0,13,22,9,1,0,0
6,2,30,24,0,0,0
0,2,38,51,0,0,0
1,21,31,23,0,1,0
0,1,45,18,0,1,1
1,4,32,5,0,0,0
0,2,38,12,0,1,0
4,9,19,16,0,0,0
0,0,27,61,0,1,0
6,15,41,13,0,0,0
5,19,19,22,0,0,0
3,0,26,17,0,0,0
3,14,27,10,0,0,0
6,15,20,5,0,0,0
5,1,21,23,0,0,0
0,0,35,28,0,0,0
3,16,33,11,0,0,0
6,18,29,24,0,0,1
0,3,19,23,0,0,0
5,21,28,8,0,0,0
2,22,41,13,0,0,1
0,3,33,23,0,1,1
0,7,35,3,0,0,0
2,3,40,5,0,1,0
6,19,24,37,0,1,0
0,16,37,16,0,0,0
3,18,21,51,0,0,0
0,3,41,18,0,0,0
4,0,33,3,1,0,0
6,13,39,36,0,0,1
0,20,39,6,0,0,0
3,12,31,29,0,0,0
2,14,42,54,0,0,1
6,9,20,12,0,0,0
1,2,33,26,0,0,0
4,2,40,7,0,0,0
1,8,43,13,0,0,0
3,23,22,52,0,0,1
5,0,22,51,0,0,1
3,6,42,18,0,0,1
5,13,21,73,0,1,1
0,15,21,14,0,0,0
2,18,33,17,0,0,0
0,11,38,20,0,1,0
5,2,25,7,0,0,0
6,21,37,31,0,0,0
2,20,38,8,0,0,0
6,3,31,14,0,0,0
4,19,42,3,0,0,1
4,14,24,15,0,0,0
2,20,20,18,0,0,0
1,18,28,17,0,0,0
0,22,21,9,0,0,1
6,23,57,13,0,0,0
4,1,23,23,0,0,1
1,14,49,11,0,0,0
0,18,28,32,0,0,0
3,1,27,68,1,0,0
3,16,30,39,0,1,0
0,21,30,4,1,0,0
5,16,39,14,0,0,0
0,6,27,70,0,0,0
2,19,23,6,0,0,1
0,0,26,14,0,0,0
4,14,31,27,0,0,0
6,0,47,22,0,0,0
3,22,76,19,0,1,0
0,11,22,45,0,0,0
0,11,31,37,0,1,0
5,2,22,10,0,1,0
5,2,29,28,0,0,0
6,19,57,10,0,0,0
2,21,21,25,0,0,1
1,22,54,9,0,0,0
1,22,35,37,1,1,1
5,6,17,16,0,0,0
3,22,30,18,1,0,0
6,23,24,25,0,0,0
4,17,21,32,0,0,0
4,16,17,8,0,0,0
0,21,36,2,1,0,0
0,16,37,4,0,0,0
4,15,44,6,0,0,0
1,15,40,2,0,0,0
2,21,19,14,0,0,1
6,6,35,32,0,0,1
2,4,32,6,1,0,0
3,0,24,27,1,0,0
3,23,27,43,0,0,0
1,2,39,31,0,0,0
2,2,30,39,0,0,1
3,17,38,3,0,0,0
3,0,75,11,0,0,0
1,15,31,16,0,0,0
5,4,33,45,0,1,0
0,20,28,21,0,0,0
3,6,20,34,0,0,1
5,12,36,13,0,0,0
2,5,50,11,1,0,0
3,14,23,30,0,1,0
0,5,24,59,0,0,0
3,23,27,12,0,0,1
4,11,31,26,0,0,0
0,15,43,23,0,1,0
6,20,36,6,0,0,0
6,22,18,23,0,0,1
1,4,36,52,0,1,0
3,23,37,34,1,0,0
5,17,40,2,0,0,1
6,18,38,4,0,0,0
2,17,47,6,0,0,0
6,10,26,7,0,1,0
1,10,38,52,1,0,0
0,15,17,11,0,0,0
6,7,21,27,0,0,1
3,17,28,13,0,0,0
2,2,20,13,0,0,0
2,15,31,20,0,0,0
4,1,21,28,0,0,0
0,20,29,15,1,0,1
4,18,23,19,0,0,1
5,22,24,45,0,0,0
0,9,22,7,0,0,0
0,17,26,3,1,0,0
4,11,30,13,0,0,0
4,19,45,2,0,1,0
5,0,27,17,0,0,1
1,8,21,35,0,0,0
5,14,22,21,0,0,0
0,14,21,37,0,0,0
4,3,20,18,0,0,0
5,18,28,18,0,0,0
2,23,27,25,1,0,0
0,3,25,25,0,0,0
0,1,27,24,0,0,0
4,1,23,61,0,0,0
5,17,38,4,0,0,0
6,20,32,11,0,0,0
3,1,24,21,0,0,1
2,3,30,1,0,1,0
0,17,46,2,1,0,0
2,10,49,7,0,0,1
1,20,19,17,0,0,0
5,16,35,58,0,0,0
0,4,20,42,0,0,0
2,1,26,21,0,0,1
0,8,41,36,0,1,0
5,0,36,28,1,0,0
4,13,35,10,0,0,0
4,22,26,20,0,0,0
2,0,28,11,0,0,0
1,10,28,6,0,1,0
4,14,38,25,0,0,1
5,5,53,7,0,0,0
4,14,36,19,0,1,0
1,5,42,15,0,0,0
1,3,36,22,0,1,0
1,3,32,26,0,0,0
4,10,30,23,0,0,1
5,18,22,19,0,1,0
2,0,34,26,0,0,0
6,23,69,2,0,0,0
5,4,26,26,0,0,0
6,23,23,36,0,0,1
0,5,26,12,0,0,0
0,0,30,44,0,0,0
1,15,20,27,1,0,0
3,5,35,12,0,0,0
2,23,21,11,0,0,0
1,4,46,14,0,0,0
4,0,29,23,0,0,0
3,14,49,4,0,0,0
6,17,35,20,0,0,0
3,7,22,22,0,0,0
1,0,18,31,0,0,0
5,23,37,18,0,0,0
0,1,17,15,0,0,0
5,6,51,25,0,0,1
4,13,47,10,0,0,1
3,5,66,6,0,1,0
6,20,27,14,0,0,1
6,20,40,9,0,0,0
1,2,40,6,0,1,0
5,18,35,1,1,0,0
1,20,27,12,0,0,0
5,21,33,4,0,1,0
1,0,37,22,0,0,0
1,4,27,35,0,0,0
5,15,27,34,0,0,0
6,16,22,17,0,0,1
5,0,25,31,0,1,0
5,17,21,6,0,0,0
5,14,28,31,0,0,0
2,0,28,57,1,0,0
5,14,30,51,0,0,0
6,17,23,11,0,0,0
4,18,29,6,0,1,0
0,4,22,7,0,0,0
1,3,30,2,0,0,0
4,13,20,2,0,1,0
6,0,26,29,0,0,0
2,5,43,20,0,0,0
4,16,24,63,1,1,0
5,11,30,54,1,0,0
0,11,28,15,0,0,1
4,14,24,8,0,0,0
0,21,41,1,0,1,0
4,19,41,13,1,0,0
5,18,25,52,0,0,0
5,20,42,10,0,1,0
0,20,21,11,0,0,0
3,3,40,32,1,0,0
4,21,22,19,0,0,0
4,21,28,16,0,0,0
4,16,45,12,0,0,0
6,14,25,34,0,0,1
5,1,24,18,0,1,0
6,22,29,16,1,0,0
5,22,19,22,0,0,0
2,3,24,13,0,0,1
4,22,34,23,1,0,0
6,21,23,13,1,0,0
3,16,19,37,0,0,0
6,13,34,5,0,0,1
0,20,27,31,0,0,1
2,18,27,19,0,0,0
4,18,30,7,0,0,0
3,17,21,17,0,0,1
4,14,21,41,0,0,0
2,12,44,15,0,0,0
6,7,38,4,0,1,0
2,20,24,32,0,0,0
0,23,56,14,1,0,0
4,3,21,6,0,0,0
2,4,36,21,0,1,0
0,3,18,20,0,0,0
5,15,23,5,0,1,1
6,16,37,19,0,0,0
0,14,24,59,0,0,0
5,20,31,29,1,0,0
1,4,32,32,0,0,0
5,15,20,12,0,0,0
5,11,43,35,0,0,0
0,16,23,33,0,0,0
0,19,70,1,0,1,0
1,7,23,35,0,0,0
6,0,50,20,0,0,0
5,20,21,11,0,0,0
1,16,34,14,0,0,0
4,17,42,15,0,0,0
0,13,26,15,0,0,0
6,12,43,15,0,0,0
4,9,50,11,0,0,0
6,23,29,3,0,1,1
0,4,22,13,0,0,0
1,17,24,31,0,0,0
0,2,22,13,0,1,0
5,2,33,64,0,0,0
6,14,28,16,0,0,0
0,16,43,42,0,1,1
1,21,22,27,0,0,1
2,20,34,19,0,0,0
5,1,23,19,0,0,0
1,10,32,6,0,1,0
0,22,35,26,0,0,0
0,12,42,18,0,0,0
6,21,21,16,0,1,0
1,15,53,7,0,0,0
2,4,29,11,0,1,0
1,20,36,14,0,0,0
5,23,31,20,0,0,0
3,17,26,1,0,0,0
3,15,27,22,0,0,0
4,21,26,17,0,0,0
4,20,30,38,0,0,1
0,14,22,34,1,0,1
6,15,43,10,1,0,1
2,21,39,6,1,0,0
5,4,20,18,0,0,0
3,19,19,4,0,0,0
2,2,35,24,0,1,0
0,13,50,8,0,0,0
4,23,19,6,0,0,0
4,4,41,19,0,1,0
6,18,35,25,0,1,1
6,12,37,23,0,1,0
2,13,25,26,1,0,0
0,0,27,12,0,1,0
2,13,41,56,0,0,0
6,3,18,5,0,0,0
1,10,24,34,0,0,1
2,17,24,10,0,0,0
